150 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
150 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
31 17 39 42 21 0 0 0 0 0 0 0 0 0 0 0 0 0
21 17 14 22 48 2 26 0 0 0 0 0 0 0 0 0 0 0
8 48 29 2 22 10 31 0 0 0 0 0 0 0 0 0 0 0
7 53 11 43 6 10 20 0 0 0 0 0 0 0 0 0 0 0
25 1 11 3 8 2 100 0 0 0 0 0 0 0 0 0 0 0
38 12 5 1 8 3 83 0 0 0 0 0 0 0 0 0 0 0
55 15 3 1 8 2 65 0 0 0 0 0 0 0 0 0 0 0
3 5 64 1 7 2 68 0 0 0 0 0 0 0 0 0 0 0
44 5 31 1 7 2 60 0 0 0 0 0 0 0 0 0 0 0
51 12 30 1 7 2 47 0 0 0 0 0 0 0 0 0 0 0
58 0 66 2 7 1 16 0 0 0 0 0 0 0 0 0 0 0
51 0 46 2 7 1 43 0 0 0 0 0 0 0 0 0 0 0
86 0 20 2 7 1 34 0 0 0 0 0 0 0 0 0 0 0
133 0 2 2 7 1 5 0 0 0 0 0 0 0 0 0 0 0
106 0 21 12 7 1 4 0 0 0 0 0 0 0 0 0 0 0
31 0 1 32 7 1 78 0 0 0 0 0 0 0 0 0 0 0
57 0 30 20 0 1 43 0 0 0 0 0 0 0 0 0 0 0
5 0 68 24 0 0 53 0 0 0 0 0 0 0 0 0 0 0
54 0 18 23 0 0 54 0 0 0 0 0 0 0 0 0 0 0
90 0 1 20 0 0 39 0 0 0 0 0 0 0 0 0 0 0
93 0 33 20 0 0 4 0 0 0 0 0 0 0 0 0 0 0
19 0 25 20 0 0 85 0 0 0 0 0 0 0 0 0 0 0
20 0 34 18 0 0 78 0 0 0 0 0 0 0 0 0 0 0
41 0 30 14 0 0 65 0 0 0 0 0 0 0 0 0 0 0
49 0 25 12 0 0 64 0 0 0 0 0 0 0 0 0 0 0
97 0 30 10 0 0 12 0 0 0 0 0 0 0 0 0 0 0
79 0 42 8 0 0 20 0 0 0 0 0 0 0 0 0 0 0
39 0 72 7 0 0 32 0 0 0 0 0 0 0 0 0 0 0
35 0 80 6 0 0 29 0 0 0 0 0 0 0 0 0 0 0
50 0 40 5 0 0 47 8 0 0 0 0 0 0 0 0 0 0
10 0 93 4 0 0 17 14 13 0 0 0 0 0 0 0 0 0
17 0 33 3 0 0 36 7 53 0 0 0 0 0 0 0 0 0
60 0 23 3 0 0 24 8 29 2 2 0 0 0 0 0 0 0
13 0 9 2 0 0 67 14 26 12 7 0 0 0 0 0 0 0
24 0 22 2 0 0 23 17 34 19 9 0 0 0 0 0 0 0
41 0 7 3 0 0 11 9 29 6 44 0 0 0 0 0 0 0
23 0 9 2 0 0 35 28 16 17 13 7 0 0 0 0 0 0
33 0 31 3 0 0 38 21 3 10 1 11 0 0 0 0 0 0
33 0 26 20 0 0 21 13 5 7 8 16 0 0 0 0 0 0
34 0 25 27 0 0 19 15 4 6 4 17 0 0 0 0 0 0
44 0 14 20 0 0 18 23 2 9 4 13 1 0 0 0 0 0
38 0 22 23 0 0 22 18 1 9 5 10 1 0 0 0 0 0
52 0 18 13 0 0 22 18 1 9 5 10 1 0 0 0 0 0
