150 0 0 0 0 0 0 0 0 0 0 0 0 0 0
150 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14 38 13 16 12 28 16 13 0 0 0 0 0 0 0
21 4 62 7 8 17 11 12 7 0 0 0 0 0 0
7 17 4 5 0 93 9 9 4 2 0 0 0 0 0
31 50 12 23 0 4 20 4 4 2 0 0 0 0 0
17 11 49 4 0 4 59 1 4 2 0 0 0 0 0
21 30 44 4 0 35 9 2 4 2 0 0 0 0 0
20 10 30 5 0 71 6 2 4 2 0 0 0 0 0
13 13 20 6 0 19 72 2 4 2 0 0 0 0 0
16 13 3 4 0 0 104 4 4 2 0 0 0 0 0
16 13 22 6 0 0 82 6 4 2 0 0 0 0 0
15 20 37 6 0 0 57 9 4 2 0 0 0 0 0
15 12 95 6 0 0 5 12 4 2 0 0 0 0 0
14 12 82 7 0 0 15 14 4 2 0 0 0 0 0
14 13 84 8 0 0 8 19 4 2 0 0 0 0 0
16 16 71 10 0 0 18 13 4 2 0 0 0 0 0
15 17 21 12 0 0 44 36 4 2 0 0 0 0 0
15 19 15 13 0 0 68 15 4 2 0 0 0 0 0
14 17 3 17 0 0 80 14 4 2 0 0 0 0 0
14 16 51 16 0 0 40 8 4 2 0 0 0 0 0
18 17 1 18 0 0 88 2 4 2 0 0 0 0 0
16 17 37 21 0 0 0 51 4 2 0 0 0 0 0
18 21 68 22 0 0 0 15 4 2 0 0 0 0 0
20 18 73 27 0 0 0 6 4 2 0 0 0 0 0
20 18 52 27 0 0 0 27 4 2 0 0 0 0 0
25 21 43 24 0 0 0 32 4 2 0 0 0 0 0
25 21 74 24 0 0 0 1 3 2 0 0 0 0 0
24 21 36 25 0 0 0 38 3 2 0 0 0 0 0
24 17 6 23 0 0 0 76 3 2 0 0 0 0 0
22 19 22 25 0 0 0 57 3 2 0 0 0 0 0
24 22 67 27 0 0 0 6 3 2 0 0 0 0 0
24 20 22 30 0 0 0 49 3 2 0 0 0 0 0
24 21 19 29 0 0 0 52 2 2 0 0 0 0 0
26 20 43 30 0 0 0 27 2 2 0 0 0 0 0
23 22 5 33 0 0 0 64 2 2 0 0 0 0 0
23 23 29 29 0 0 0 43 2 2 0 0 0 0 0
25 20 36 39 0 0 0 25 2 2 0 0 0 0 0
