150 0 0 0 0 0 0 0 0 0 0
150 0 0 0 0 0 0 0 0 0 0
39 84 8 15 4 0 0 0 0 0 0
18 51 14 9 16 9 11 10 5 8 0
25 23 0 75 3 18 2 1 1 0 0
7 12 0 1 3 16 108 1 1 0 0
7 11 0 85 3 31 0 1 11 0 0
9 11 0 83 4 5 0 1 37 0 0
2 13 0 32 5 32 0 1 65 0 0
45 13 0 23 5 18 0 1 45 0 0
48 13 0 10 5 40 0 17 17 0 0
26 15 0 13 12 44 0 33 6 0 0
47 18 0 12 0 34 0 32 7 0 0
44 18 0 14 0 34 0 32 8 0 0
43 17 0 17 0 33 0 31 9 0 0
40 20 0 20 0 31 0 29 10 0 0
37 23 0 23 0 19 0 27 11 0 10
36 22 0 22 0 18 0 26 13 0 12
35 21 0 21 0 17 0 25 15 0 14
34 20 0 20 0 20 0 24 18 0 14
32 19 0 19 0 23 0 22 20 0 16
28 17 0 21 0 25 0 24 22 0 14
26 19 0 19 0 23 0 22 25 0 16
24 21 0 17 0 21 0 24 28 0 15
23 20 0 16 0 20 0 28 26 0 17
21 22 0 17 0 22 0 25 28 0 15
20 21 0 20 0 21 0 24 27 0 18
22 23 0 18 0 23 0 22 25 0 16
25 21 0 20 0 21 0 25 23 0 15
24 23 0 19 0 21 0 24 22 0 17
27 21 0 17 0 24 0 22 20 0 19
25 24 0 19 0 22 0 20 23 0 17
23 22 0 21 0 20 0 23 21 0 19
20 22 0 18 0 22 0 24 22 0 20
23 25 0 20 0 20 0 22 20 0 19
21 21 0 22 0 24 0 20 22 0 21
22 21 0 19 0 26 0 21 23 0 18
25 18 0 21 0 25 0 24 21 0 16
24 21 0 20 0 24 0 23 20 0 19
21 23 0 22 0 21 0 25 22 0 17
22 20 0 23 0 22 0 22 23 0 18
25 22 0 21 0 20 0 20 21 0 20
24 21 0 20 0 23 0 19 20 0 23
22 23 0 18 0 26 0 17 22 0 21
21 22 0 21 0 25 0 20 21 0 20
23 19 0 19 0 27 0 22 23 0 18
20 21 0 17 0 24 0 24 25 0 20
23 20 0 20 0 23 0 23 24 0 19
21 22 0 18 0 25 0 25 22 0 17
19 24 0 20 0 22 0 22 24 0 19
21 20 0 18 0 26 0 21 27 0 17
22 21 0 19 0 23 0 22 24 0 18
24 23 0 21 0 21 0 24 21 0 16
22 20 0 24 0 24 0 23 19 0 18
20 21 0 22 0 23 0 26 21 0 16
23 20 0 21 0 22 0 25 20 0 19
21 18 0 23 0 25 0 23 22 0 17
19 20 0 25 0 22 0 25 20 0 19
17 22 0 23 0 20 0 23 22 0 21
19 20 0 26 0 23 0 21 20 0 20
21 18 0 23 0 25 0 23 22 0 18
20 21 0 22 0 24 0 22 21 0 21
18 19 0 24 0 22 0 24 23 0 19
21 18 0 23 0 21 0 23 22 0 22
23 20 0 21 0 23 0 21 20 0 24
21 22 0 23 0 21 0 19 22 0 22
22 23 0 20 0 22 0 20 23 0 19
20 21 0 22 0 24 0 22 21 0 21
22 23 0 19 0 26 0 19 19 0 23
25 21 0 17 0 24 0 21 21 0 21
22 23 0 19 0 21 0 23 23 0 19
21 22 0 22 0 20 0 26 22 0 18
23 23 0 20 0 23 0 23 20 0 20
21 25 0 22 0 21 0 21 18 0 22
23 22 0 24 0 23 0 19 20 0 20
21 20 0 22 0 26 0 21 22 0 18
23 22 0 20 0 23 0 19 24 0 20
25 20 0 22 0 25 0 17 22 0 18
22 21 0 24 0 23 0 19 24 0 16
24 23 0 22 0 25 0 17 22 0 18
25 20 0 19 0 26 0 18 23 0 19
23 18 0 21 0 24 0 20 21 0 21
21 20 0 19 0 22 0 22 23 0 23
24 18 0 21 0 25 0 20 21 0 21
22 20 0 19 0 23 0 22 24 0 19
20 22 0 21 0 25 0 24 21 0 17
22 25 0 19 0 23 0 22 19 0 19
21 24 0 22 0 22 0 21 22 0 18
23 22 0 25 0 25 0 19 20 0 16
21 20 0 23 0 23 0 21 23 0 18
20 19 0 22 0 27 0 24 22 0 17
22 21 0 20 0 25 0 22 20 0 19
24 19 0 22 0 27 0 20 18 0 21
22 21 0 20 0 25 0 22 20 0 19
25 19 0 22 0 28 0 20 18 0 17
24 22 0 21 0 27 0 19 17 0 20
22 20 0 19 0 25 0 21 19 0 23
24 17 0 17 0 28 0 23 21 0 20
22 19 0 19 0 26 0 21 19 0 23
20 21 0 18 0 24 0 24 21 0 21
18 24 0 20 0 22 0 22 24 0 19
20 22 0 22 0 24 0 20 22 0 21
23 21 0 21 0 22 0 19 25 0 20
21 23 0 19 0 20 0 21 23 0 22
19 26 0 17 0 22 0 24 21 0 20
21 23 0 15 0 24 0 22 23 0 22
23 18 0 16 0 29 0 24 21 0 20
21 20 0 18 0 27 0 22 19 0 22
19 19 0 20 0 25 0 25 21 0 20
17 21 0 18 0 28 0 23 24 0 18
19 23 0 20 0 25 0 21 22 0 20
21 20 0 22 0 23 0 23 24 0 18
20 23 0 21 0 26 0 21 22 0 17
17 24 0 18 0 27 0 22 23 0 18
20 22 0 17 0 27 0 21 22 0 21
19 21 0 20 0 26 0 24 21 0 20
17 23 0 22 0 23 0 26 23 0 18
18 24 0 19 0 24 0 22 24 0 19
19 21 0 17 0 26 0 24 26 0 17
17 23 0 15 0 24 0 27 29 0 15
19 21 0 17 0 27 0 24 26 0 17
18 20 0 20 0 26 0 23 25 0 20
20 20 0 18 0 26 0 25 23 0 18
18 19 0 20 0 22 0 27 25 0 20
20 21 0 22 0 24 0 24 22 0 18
22 23 0 20 0 21 0 21 24 0 20
20 21 0 22 0 23 0 23 22 0 18
18 23 0 20 0 21 0 25 24 0 20
20 21 0 18 0 19 0 28 27 0 18
18 19 0 20 0 21 0 25 30 0 16
16 21 0 22 0 23 0 23 27 0 18
17 22 0 23 0 20 0 24 24 0 19
16 20 0 21 0 22 0 27 22 0 21
19 23 0 20 0 21 0 26 21 0 20
21 20 0 18 0 23 0 28 23 0 18
19 17 0 20 0 26 0 26 21 0 20
18 25 0 23 0 18 0 24 24 0 19
20 23 0 21 0 20 0 27 22 0 17
20 22 0 20 0 20 0 26 21 0 20
18 25 0 22 0 18 0 24 24 0 18
19 22 0 24 0 19 0 21 26 0 19
17 20 0 22 0 21 0 24 24 0 21
19 22 0 24 0 19 0 22 22 0 23
17 20 0 22 0 21 0 24 24 0 21
